iter	Passed	Remaining
0	50	50045
1	53	26826
2	57	19083
3	60	15184
4	64	12847
5	68	11282
6	71	10144
7	75	9344
8	79	8717
9	82	8183
10	86	7760
11	90	7418
12	93	7133
13	97	6868
14	101	6642
15	104	6444
16	108	6280
17	112	6135
18	116	5992
19	119	5863
20	123	5746
21	126	5638
22	130	5532
23	133	5435
24	137	5354
25	140	5279
26	144	5212
27	148	5151
28	152	5094
29	155	5041
30	159	4985
31	163	4934
32	166	4891
33	170	4846
34	174	4799
35	177	4759
36	181	4719
37	186	4730
38	190	4691
39	193	4653
40	197	4619
41	201	4593
42	205	4563
43	208	4533
44	212	4505
45	215	4479
46	219	4451
47	223	4426
48	226	4397
49	230	4377
50	234	4357
51	237	4335
52	241	4309
53	244	4287
54	248	4263
55	251	4238
56	255	4219
57	258	4198
58	262	4184
59	266	4169
60	269	4153
61	273	4136
62	277	4120
63	280	4105
64	284	4087
65	287	4071
66	291	4056
67	294	4042
68	298	4031
69	302	4019
70	306	4009
71	310	3997
72	313	3985
73	317	3973
74	321	3961
75	324	3950
76	328	3940
77	332	3928
78	335	3914
79	339	3903
80	342	3890
81	346	3877
82	349	3865
83	353	3854
84	357	3843
85	360	3832
86	364	3820
87	367	3810
88	371	3801
89	375	3792
90	378	3782
91	382	3771
92	385	3760
93	389	3749
94	392	3739
95	396	3730
96	399	3719
97	403	3711
98	406	3701
99	410	3691
100	413	3680
101	416	3669
102	420	3659
103	423	3649
104	427	3639
105	430	3631
106	435	3637
107	439	3628
108	443	3622
109	446	3614
110	450	3604
111	453	3593
112	456	3586
113	460	3578
114	463	3569
115	467	3561
116	471	3554
117	474	3547
118	478	3539
119	481	3531
120	485	3524
121	488	3516
122	491	3501
123	494	3494
124	498	3486
125	501	3479
126	504	3470
127	508	3463
128	512	3457
129	515	3449
130	519	3443
131	522	3436
132	526	3428
133	529	3419
134	532	3410
135	535	3402
136	539	3395
137	542	3386
138	545	3382
139	549	3375
140	552	3364
141	555	3355
142	558	3348
143	562	3341
144	564	3331
145	569	3329
146	572	3320
147	575	3315
148	578	3305
149	582	3299
150	585	3293
151	590	3293
152	594	3292
153	598	3289
154	601	3278
155	605	3273
156	608	3267
157	612	3266
158	615	3258
159	619	3249
160	622	3242
161	625	3236
162	629	3229
163	631	3221
164	635	3215
165	638	3209
166	641	3201
167	645	3194
168	648	3188
169	651	3180
170	655	3175
171	658	3168
172	661	3162
173	664	3156
174	668	3151
175	671	3143
176	674	3136
177	678	3131
178	681	3124
179	684	3117
180	687	3112
181	691	3106
182	694	3099
183	697	3095
184	701	3089
185	704	3082
186	707	3078
187	711	3073
188	715	3068
189	718	3062
190	721	3057
191	725	3051
192	728	3045
193	731	3039
194	735	3034
195	738	3027
196	741	3022
197	745	3018
198	749	3015
199	752	3010
200	756	3006
201	759	2999
202	762	2992
203	765	2988
204	769	2982
205	772	2976
206	775	2971
207	779	2967
208	782	2961
209	786	2957
210	789	2951
211	792	2945
212	795	2938
213	798	2932
214	802	2928
215	805	2922
216	808	2915
217	811	2910
218	814	2905
219	817	2898
220	820	2893
221	824	2889
